lead time,crps_ss,crps,mae_median,mae_mean,bias,bias_median,relative_bias_5,Brier95,Brier99,Brier995
0,-0.19460662,1.3258797,1.5577404,1.6245576,-0.06806344,-0.23501411,0.13554664,0.05523887,0.009837269,0.00452263
1,-0.19414753,1.4089041,1.7182741,1.8329153,0.06318129,-0.25791198,0.20403399,0.05625823,0.011615416,0.005097418
2,-0.08748798,1.4908808,1.7890903,1.9744468,-0.23650849,-0.6989829,0.1815439,0.057587054,0.013679269,0.007060158
3,-0.013179171,1.3663919,1.6525966,1.8823544,-0.21462186,-0.807616,0.1750779,0.049592752,0.012392793,0.0067668357
4,-0.020763187,1.2783673,1.5193416,1.8663065,-0.09210113,-0.8601577,0.19724661,0.045749962,0.0116177425,0.00635015
5,0.03904837,1.3424331,1.5558971,1.9675366,-0.1945751,-1.0896112,0.19736017,0.046534486,0.011019797,0.005978636
6,0.048510667,1.6335232,1.8769299,2.3444674,-0.41176918,-1.5370908,0.2183425,0.054166608,0.016771005,0.009892911
7,-0.0062580397,1.7700936,2.0506148,2.5298674,-0.36230808,-1.531169,0.24001734,0.06033797,0.01805874,0.010538319
8,-0.04604766,1.6466825,1.8319278,2.5307968,-0.047668044,-1.3818885,0.30016822,0.05708958,0.014770357,0.008221777
9,-0.23734504,1.4658699,1.6041253,2.504964,0.49518523,-0.952965,0.38534486,0.0546952,0.009731521,0.004512223
10,-0.19255218,1.4671971,1.6284537,2.4243279,0.25491044,-1.1302514,0.3473281,0.054325037,0.010870371,0.0052527706
11,-0.12845933,1.611246,1.784466,2.4839668,-0.1069942,-1.4194995,0.29398197,0.060308427,0.014282279,0.007185012
12,-0.049866986,1.7537367,1.9609141,2.5710795,-0.44360465,-1.6786569,0.24742208,0.066977866,0.016053984,0.0078797955
13,-0.075658195,1.4835619,1.6267873,2.3047824,-0.1271479,-1.3747818,0.26436582,0.058732122,0.011859161,0.005895544
14,-0.093079045,1.3570638,1.4434413,2.208432,0.023251789,-1.2346473,0.27909634,0.056499995,0.009890762,0.0043500266
15,-0.095654935,1.2464575,1.2974486,2.09139,0.12761413,-1.0854516,0.28351396,0.052116096,0.007938732,0.003173481
16,-0.09224682,1.3467257,1.4049121,2.1384542,-0.057031043,-1.2171805,0.26007965,0.053167764,0.009927608,0.004279497
17,-0.07607138,1.5289277,1.5989125,2.2665668,-0.35935605,-1.4508058,0.23394084,0.052247275,0.013803334,0.007985375
18,-0.080224395,1.6771338,1.7631507,2.382801,-0.5542735,-1.638556,0.21289736,0.05662731,0.015310227,0.009067635
19,-0.069891945,1.7962555,1.9079597,2.5150983,-0.6379148,-1.7485229,0.2148198,0.061298274,0.018846247,0.011330882
20,-0.04348486,1.7337044,1.8547227,2.4871423,-0.57086706,-1.7286191,0.2153953,0.061840937,0.015828183,0.008904673
21,-0.037153587,1.7013254,1.8281277,2.4283438,-0.57756215,-1.6823217,0.20807186,0.059553154,0.014143844,0.008029117
22,-0.04044837,1.6645905,1.7753785,2.4602249,-0.4026075,-1.626413,0.24311359,0.05736125,0.0134980455,0.0071603484
23,-0.09311778,1.5700359,1.6667413,2.4283097,-0.1618759,-1.4628588,0.28289086,0.054954387,0.011706928,0.0062479153
24,-0.094066516,1.2975034,1.3830787,2.130892,0.08308538,-1.2062342,0.2859632,0.04548274,0.0078111147,0.0033696697
25,-0.06776272,1.3596393,1.4547449,2.1734142,-0.0703944,-1.2892152,0.2655466,0.048170913,0.0095655685,0.004629034
26,-0.08782839,1.6232209,1.7330209,2.3982008,-0.38588464,-1.5640446,0.2367197,0.058329616,0.013331961,0.006618254
27,-0.057261955,1.7306939,1.8877352,2.482481,-0.55028117,-1.7398459,0.21989867,0.06493472,0.015123817,0.007390052
28,-0.065850906,1.5509709,1.6875505,2.3569982,-0.24490479,-1.5181136,0.24737476,0.059499513,0.012281938,0.0062509896
29,-0.080548234,1.4204316,1.5430223,2.286772,-0.01953606,-1.3362325,0.28417093,0.056761935,0.010192628,0.0046555744
30,-0.14876188,1.2922338,1.3356061,2.2093976,0.23734865,-1.0449368,0.3220882,0.052185275,0.008437057,0.0036479712
31,-0.14581175,1.3343283,1.3874834,2.2520506,0.19731529,-1.0845507,0.32725313,0.052318774,0.009723198,0.004437683
32,-0.104826115,1.5362622,1.6253707,2.4223282,-0.04571383,-1.357912,0.30776367,0.053977493,0.013696021,0.007482507
33,-0.11500818,1.692564,1.7826154,2.6026337,-0.17310096,-1.5385784,0.31102598,0.05933742,0.016094701,0.00934912
34,-0.11588367,1.8609381,1.9314319,2.8007054,-0.29388565,-1.7001219,0.3100843,0.06503263,0.018828755,0.011118036
35,-0.07597051,1.8648459,1.9471185,2.7203863,-0.4332061,-1.764208,0.27198678,0.06514782,0.017344013,0.009838014
36,-0.07442657,2.0424418,2.137879,2.9212806,-0.5778885,-1.9621521,0.27232403,0.072117046,0.01985427,0.011612692
37,-0.06393785,1.9077885,2.029967,2.7247767,-0.5810884,-1.8664613,0.24389051,0.067679435,0.015485497,0.00812808
38,-0.10064922,1.7686865,1.8716677,2.627841,-0.32597825,-1.6857356,0.27580285,0.06367176,0.012965519,0.006645419
39,-0.19440064,1.412496,1.4587835,2.3363383,0.15123759,-1.2370614,0.31949908,0.049108446,0.00817495,0.00336365
40,-0.21175754,1.2533622,1.3039219,2.1193557,0.22357017,-1.044098,0.30838054,0.04231462,0.0070414767,0.003513329
41,-0.17775188,1.4658432,1.5584004,2.2856028,-0.11500631,-1.3081475,0.27345863,0.05043184,0.010696706,0.005283889
