lead time,crps_ss,crps,mae_median,mae_mean,bias,bias_median,relative_bias_5,Brier95,Brier99,Brier995,alpha
0,-0.1573498,1.0589778,1.2021105,1.2567612,-0.15752381,-0.25577438,0.076460175,0.035586495,0.006723231,0.003686886,0.8467617
1,-0.13425125,0.88268614,1.0671622,1.1626582,0.12249802,-0.08396104,0.13307773,0.029376125,0.00484462,0.0024445402,0.8629731
2,-0.14116533,0.87738377,1.0795977,1.2272427,0.19302619,-0.114251174,0.15515076,0.028157331,0.0058673783,0.0027934387,0.86698323
3,0.0034517965,0.9323956,1.1269335,1.3344318,0.021426141,-0.4292014,0.14803033,0.02943444,0.0069051017,0.0034973251,0.88021266
4,-0.04539992,1.0641742,1.2574219,1.4981291,-0.14862451,-0.69975716,0.14351377,0.034052867,0.008144491,0.004148946,0.89217937
5,0.011199687,1.1455379,1.3330584,1.5529773,-0.34046695,-0.9553129,0.12037123,0.03788261,0.009165667,0.004904481,0.89761627
6,0.017659513,1.1234428,1.3012419,1.5572834,-0.30719718,-1.0094476,0.12707019,0.038900446,0.007490169,0.0035501323,0.8928832
7,-0.035085753,1.0876721,1.2178993,1.6320114,-0.14921315,-0.96637845,0.1696795,0.04076108,0.0064284564,0.0026388806,0.8848317
8,-0.0784045,0.95677054,1.0219998,1.5861871,0.11451662,-0.7935005,0.21628673,0.03400668,0.0047573196,0.0018648708,0.8705832
9,-0.091118306,0.8383903,0.87868756,1.536179,0.31967053,-0.67056,0.25042847,0.028088726,0.004192185,0.0018592044,0.86214
10,-0.10083601,0.8653169,0.90847427,1.6146917,0.37795717,-0.6949574,0.27390844,0.027634948,0.004670477,0.0023692346,0.8634282
11,-0.09745099,0.94088835,0.98901343,1.6857758,0.33070916,-0.76170194,0.2701081,0.030357976,0.004523955,0.0022141072,0.8681955
12,-0.06916206,1.0490756,1.0871601,1.8576418,0.26324308,-0.9068324,0.27897725,0.036957316,0.0059363237,0.0027859148,0.8827949
13,-0.089347884,1.1100768,1.1605035,1.8325201,0.11653203,-0.9649008,0.2534702,0.03819834,0.007030496,0.0035065238,0.88582414
14,-0.11402179,1.0508173,1.0892096,1.802243,0.16610157,-0.9202959,0.26117122,0.036371518,0.0069538997,0.0033773177,0.88110584
15,-0.13251057,0.9678573,0.99686265,1.7282586,0.27290115,-0.8118169,0.26859546,0.032598134,0.005683647,0.0028530054,0.87351876
16,-0.105735324,0.932794,0.95855707,1.7553961,0.41451126,-0.77062386,0.30136752,0.029991182,0.0054755663,0.0029501144,0.86322665
17,-0.10874071,1.0065455,1.0219367,1.8346423,0.35914832,-0.82905805,0.30356163,0.03090997,0.006730825,0.003868108,0.85813904
18,-0.049179316,1.0546052,1.1296359,1.7856382,0.15685536,-0.96408033,0.25665894,0.03345573,0.008042707,0.0043507037,0.88232493
19,-0.08483812,1.0992703,1.1839678,1.8632058,0.15520455,-1.0305655,0.26110876,0.0373797,0.007814485,0.0037738003,0.8866554
20,-0.07899009,1.1102668,1.2014533,1.9037031,0.19113834,-1.0387467,0.27060828,0.04011111,0.0074314824,0.003140294,0.8859924
21,-0.086084016,1.0718504,1.149773,1.8328524,0.14594945,-1.0005279,0.25032014,0.03619168,0.0061127837,0.0028097117,0.8872242
22,-0.106973864,0.9861959,1.0402268,1.7691864,0.29178306,-0.84447473,0.2728105,0.033241436,0.005040762,0.002302499,0.8781663
23,-0.12929213,0.92284954,0.968074,1.6727612,0.3080252,-0.75371647,0.26480573,0.031976297,0.0043414235,0.0017618219,0.87491095
24,-0.16414632,0.93118286,0.94717586,1.7422245,0.37130225,-0.7760669,0.28987327,0.031608116,0.004333922,0.0018367666,0.8684844
25,-0.14885709,0.9913566,0.9913814,1.8423188,0.36410668,-0.8330113,0.30038455,0.03301508,0.0052849194,0.0024613852,0.86842924
26,-0.111325756,0.9942052,0.99061096,1.8690099,0.39545703,-0.8226579,0.3120785,0.030983942,0.0049662394,0.00259547,0.8651324
27,-0.086642325,1.0557078,1.0815755,1.8809416,0.28695056,-0.88841647,0.29121765,0.035269883,0.0059296344,0.0028482836,0.87744135
28,-0.11567729,1.0888325,1.1096262,1.9311548,0.25203303,-0.92601216,0.29502073,0.03601723,0.0071415496,0.0035833844,0.882027
29,-0.14791267,1.1409891,1.1382774,2.0141158,0.24667211,-0.980453,0.305977,0.03900744,0.007981008,0.004004409,0.8774751
30,-0.16565068,1.0693256,1.0651138,1.9424741,0.30792227,-0.9114327,0.30964428,0.034978725,0.007518091,0.004053237,0.86736184
31,-0.11899801,1.1379334,1.1426144,1.964459,0.16808422,-0.9660302,0.2878097,0.03472037,0.0088289585,0.0052544973,0.8705587
