lead time,crps,mae_median,mae_mean,bias,bias_median,relative_bias,Brier95,Brier99,Brier995
0,0.90535533,0.984842,2.1963487,0.5226961,-0.9297451,0.34729484,0.030399973,0.0049442477,0.00249147
1,0.7959574,0.8333516,2.1293888,0.7324146,-0.7692502,0.3858053,0.025788559,0.0038474842,0.0018413104
2,0.8078888,0.86815155,2.146193,0.7072875,-0.8046627,0.3821576,0.024965262,0.0046421373,0.002052369
3,0.9312296,1.0248502,2.2314043,0.50690895,-0.9617205,0.35399014,0.030881004,0.006820762,0.0034177555
4,1.0355518,1.152582,2.338536,0.37454903,-1.094288,0.3396338,0.03329791,0.007827834,0.004080769
5,1.1639324,1.2842865,2.4642587,0.24087958,-1.2202909,0.33147067,0.03919879,0.008796221,0.0047913506
6,1.16008,1.27838,2.447178,0.23285024,-1.214599,0.325441,0.040743638,0.007266034,0.0034304538
7,1.0755758,1.1903181,2.310122,0.26349336,-1.1276479,0.31180623,0.039720684,0.0059932987,0.0024475292
8,0.89990085,0.98118716,2.1078134,0.43984762,-0.9214489,0.32226515,0.03185785,0.004314448,0.0016243755
9,0.7992205,0.8517467,2.0248907,0.5945305,-0.785975,0.34329024,0.02556123,0.0036625909,0.0015832885
10,0.85018504,0.8934382,2.0971847,0.5823118,-0.82132727,0.35222444,0.02609632,0.004179648,0.002133401
11,0.9100912,0.96263504,2.1648834,0.5309291,-0.8859725,0.34852773,0.028575933,0.0040694587,0.0020038972
12,1.0068508,1.0667427,2.2341,0.3967899,-0.99007004,0.33078656,0.034509238,0.005342319,0.0024816922
13,1.035052,1.1147234,2.2570617,0.33555216,-1.045633,0.32140252,0.035772726,0.0066769943,0.0033391248
14,0.96391696,1.0408753,2.1852512,0.3946521,-0.98048824,0.324634,0.033877313,0.006509121,0.003203381
15,0.87369865,0.9421673,2.1422143,0.5383236,-0.88882965,0.34504548,0.029645728,0.0053106584,0.0026900794
16,0.85387546,0.90267164,2.1311252,0.5920014,-0.8435643,0.35931385,0.027904287,0.0050834264,0.0027115387
17,0.9214783,0.9683411,2.2120879,0.54785126,-0.9061628,0.36481825,0.02860602,0.0061933054,0.003577271
18,1.0091554,1.0974488,2.2749717,0.39308265,-1.0348219,0.34076068,0.033006176,0.007777822,0.0041441736
19,1.0368459,1.160271,2.310009,0.33161703,-1.1046938,0.3250985,0.035259098,0.007199193,0.0033621814
20,1.0567187,1.1901011,2.3395069,0.31052962,-1.1341643,0.32034057,0.037917748,0.006752911,0.0028263389
21,1.0183375,1.1328169,2.3195004,0.39163467,-1.0719935,0.3352831,0.034741726,0.005607178,0.002483957
22,0.91073793,0.9923219,2.1869283,0.5092051,-0.9281358,0.34263313,0.030733513,0.0043310067,0.0019088058
23,0.8437077,0.9146994,2.081091,0.5430186,-0.8513868,0.33711505,0.028752495,0.003915921,0.0015211486
24,0.838714,0.90701276,2.0437815,0.5112999,-0.8470799,0.3270575,0.027923428,0.0036562374,0.0014909409
25,0.9042388,0.9605683,2.1199076,0.48076984,-0.8885498,0.33571863,0.029368559,0.004574853,0.0020928744
26,0.913346,0.95976764,2.159516,0.5267948,-0.87956786,0.34998965,0.028451037,0.0043375604,0.0022492465
27,0.98995054,1.0398295,2.2316678,0.4439196,-0.9579333,0.34388596,0.033261094,0.0055749775,0.0026190423
28,1.0000446,1.0677828,2.223372,0.38256118,-0.9994338,0.33252838,0.03376466,0.006675727,0.0033370478
29,1.0253347,1.1071513,2.2494192,0.3337122,-1.0452261,0.3264197,0.0355178,0.007281883,0.0035990644
30,0.96177334,1.0318276,2.2287447,0.45182753,-0.97360194,0.34757257,0.031363588,0.006795462,0.0036705553
31,1.0246631,1.0986959,2.3161924,0.41297394,-1.0389063,0.35523897,0.031106103,0.00787018,0.004751882
32,1.1098248,1.1884733,2.414858,0.34190103,-1.1280516,0.35908866,0.03240526,0.009450739,0.0060762195
33,1.1275655,1.2344269,2.409349,0.27174982,-1.175929,0.33958662,0.034476437,0.010117065,0.00609854
34,1.0638865,1.1754316,2.3437266,0.32636708,-1.1190628,0.33289692,0.033602472,0.00797568,0.0046086498
35,1.0077192,1.1197195,2.2862432,0.37796885,-1.0631002,0.3275256,0.03378783,0.005818585,0.0030337728
36,1.0983207,1.2141685,2.3861582,0.29322985,-1.1543281,0.3280198,0.034769606,0.006559592,0.0035354772
37,1.1518879,1.2708088,2.4160025,0.21171878,-1.2101446,0.31966,0.036182493,0.007186501,0.0040352847
38,1.1065823,1.2270695,2.3362262,0.21525928,-1.1691961,0.30826756,0.037067458,0.006829118,0.003458582
39,0.9438219,1.0398792,2.1474667,0.37181252,-0.9848317,0.31291232,0.032505188,0.004482587,0.0018900548
40,0.8514635,0.9083731,2.0849988,0.54891956,-0.84082425,0.34237182,0.026671568,0.0038590939,0.0017443094
41,0.85096025,0.8842585,2.0995317,0.6051372,-0.8027705,0.36083874,0.025710704,0.0041414765,0.0022078354
