lead time,crpsss,crps,mae_median,mae_mean,bias,relative_bias_5,Brier95,Brier99,Brier995,alpha
0,-0.023509607,1.1277121,1.1998389,1.2379549,-0.9382763,-0.038473696,0.041951526,0.008225261,0.0038190302,0.17883837
1,0.17556058,0.93847865,1.0121615,1.0714401,-0.722102,-0.025292313,0.03268969,0.006264714,0.0028934556,0.20699659
2,0.108531065,0.8481683,0.9194305,0.98463494,-0.6455297,-0.021472752,0.02934034,0.004055882,0.0020210478,0.223211
3,-0.092961624,0.8787716,0.9499632,1.0240443,-0.6702227,-0.021420546,0.030675882,0.0049495324,0.0021832094,0.22394806
4,-0.25475878,0.9834332,1.0584296,1.1342305,-0.7707318,-0.022562452,0.03386985,0.00717258,0.0033632931,0.22831264
5,-0.021792395,0.9717856,1.0465715,1.1273001,-0.75477666,-0.020554526,0.03291198,0.00600902,0.0029343797,0.23947984
6,-0.10996381,1.0372934,1.119903,1.197876,-0.8222945,-0.026081465,0.037309106,0.0060262154,0.003025789,0.24312265
7,-0.015371964,1.0482178,1.1271387,1.2178512,-0.8211537,-0.023562273,0.036875457,0.006602528,0.0032559584,0.24882266
8,0.051555682,0.9049606,0.97007316,1.0731103,-0.67395216,-0.015362492,0.03397464,0.005688654,0.0028753602,0.259318
9,-0.06452994,1.1098993,1.1828771,1.2769215,-0.8941567,-0.029039983,0.042354997,0.007410506,0.0036744217,0.25800285
10,-0.056614064,1.1895472,1.2676091,1.3634043,-0.9730412,-0.029638894,0.04525238,0.008137779,0.0040141423,0.2663909
11,-0.0014728854,0.99236155,1.0495415,1.1646849,-0.75591344,-0.015665304,0.034855396,0.0070846695,0.0038031829,0.27561757
12,-0.127673,0.97161746,1.0205057,1.144212,-0.7254473,-0.013005685,0.034731887,0.0070651756,0.0035041836,0.27504998
13,-0.39688963,1.0161299,1.0641344,1.1928573,-0.7664887,-0.017256327,0.038624782,0.006837989,0.0033671285,0.27038786
14,-0.05330558,1.0477858,1.0937818,1.2200806,-0.80129373,-0.019039975,0.039553072,0.008265611,0.00389508,0.273968
15,0.12152522,0.92113394,0.9634784,1.0871288,-0.6778919,-0.016695948,0.033765916,0.0065883147,0.0030309325,0.2724464
16,-0.022824198,1.0949489,1.1451914,1.2640069,-0.85358804,-0.024688637,0.039126754,0.008556345,0.004094652,0.26780808
17,-0.08343874,0.9695467,1.0229237,1.1450781,-0.71572787,-0.018376496,0.033985782,0.005108647,0.0022158267,0.26759955
18,-0.18414024,0.86401707,0.9123738,1.0417455,-0.5970709,-0.010438132,0.030959338,0.006069947,0.0026224223,0.27019656
19,-0.1373947,0.91214913,0.96618026,1.0889843,-0.65160334,-0.01407898,0.03413369,0.0049178256,0.001986189,0.27400735
20,-0.09652241,0.9744486,1.0303819,1.1574395,-0.7039186,-0.0142766945,0.032781184,0.0055666748,0.0027834754,0.27193698
21,-0.01902486,1.1115954,1.1684585,1.2943956,-0.8489034,-0.01863399,0.03807469,0.009320374,0.0046662088,0.2756946
22,0.081909776,1.0767033,1.1299323,1.2590812,-0.8150874,-0.018603567,0.039296072,0.007453686,0.0038871244,0.27476203
23,-0.02031321,1.0938632,1.1539845,1.2687498,-0.85383856,-0.024894549,0.0415844,0.007215064,0.0038576215,0.27374575
24,-0.06809618,1.036746,1.0873907,1.2079227,-0.79420745,-0.02180543,0.03826306,0.0065831267,0.0035469106,0.2774906
25,0.027504783,0.8885768,0.9312036,1.0602071,-0.6441226,-0.012774783,0.03269402,0.005641539,0.0028499113,0.2856063
26,-0.23603651,1.0370705,1.0824722,1.2159522,-0.78665763,-0.016145911,0.037947893,0.007999617,0.00419202,0.2868485
27,-0.68508995,0.97923136,1.0258502,1.1566737,-0.72635305,-0.014402205,0.035222445,0.0065157586,0.0034952187,0.2841456
28,-0.17547427,0.8949462,0.9332221,1.0710244,-0.64225245,-0.010691249,0.033219602,0.005828629,0.002903042,0.28425425
29,0.03141881,0.97461486,1.0142512,1.1478645,-0.7248683,-0.015752723,0.0378977,0.008049909,0.0037524658,0.28213477
30,-0.09827432,1.120177,1.1694723,1.2911981,-0.8756185,-0.026502697,0.04262291,0.008663466,0.004090962,0.27303126
31,-0.07817281,1.158897,1.2120655,1.333278,-0.91261476,-0.028165331,0.041794475,0.008267363,0.0037215713,0.27103856
32,-0.0014477978,0.89581233,0.94331926,1.0647581,-0.661235,-0.018725459,0.031404056,0.0046009314,0.0019934366,0.2753947
