lead time,crpsss,crps,mae_median,mae_mean,bias,relative_bias_5,Brier95,Brier99,Brier995,crps_dis,alpha_plus,alpha
0,-0.04411555,0.9087526,1.0141906,1.069047,-0.45482513,0.008701034,0.02677959,0.0042875065,0.0022267362,0.83542013,0.84799564,0.8444241
1,-0.27116504,0.9234901,1.0425838,1.1126997,-0.38473454,0.022021437,0.026518395,0.0040923744,0.002036739,0.83037823,0.8533509,0.85067695
2,-0.15936774,0.8896466,1.0219891,1.0989419,-0.37516895,0.024859266,0.025083104,0.004922999,0.0023890787,0.833213,0.85648125,0.8546565
3,-0.1454926,1.0157197,1.148171,1.2417697,-0.5484815,0.014297833,0.033639126,0.007022174,0.003611114,0.9752002,0.8633413,0.8603364
4,-0.11503606,1.08037,1.2028688,1.3424766,-0.5469977,0.022691367,0.032903075,0.0070560304,0.0036993413,1.0224756,0.8555309,0.8519656
5,0.07804192,1.0553914,1.1140593,1.3236312,-0.5466993,0.022162307,0.031999167,0.006890134,0.0037620822,1.0113479,0.84967667,0.8471506
6,0.02856967,1.0660433,1.1336398,1.3489468,-0.55335414,0.022048194,0.035021633,0.0062172897,0.003001146,1.0266548,0.8546967,0.85183436
7,-0.13875164,1.1461706,1.2079487,1.4687179,-0.58926445,0.026174664,0.037997767,0.0070314766,0.003434826,1.098025,0.85385257,0.85093534
8,-0.1484686,0.988758,1.0086285,1.3289406,-0.38102344,0.04295717,0.029858101,0.0054465574,0.0025748482,0.9361802,0.8515931,0.8502343
9,-0.24772575,0.84198475,0.84686846,1.2065133,-0.16640466,0.057722304,0.025290582,0.00387014,0.0016954518,0.78707105,0.8546579,0.85387915
10,-0.6514826,1.0001212,1.0407658,1.369157,-0.35722837,0.04754071,0.032457653,0.0057813567,0.0028860583,0.95585185,0.8595901,0.8573761
11,-0.43324125,1.0375886,1.0783902,1.4241034,-0.37747005,0.050524667,0.031637482,0.005603561,0.002864246,0.9932057,0.85652953,0.85434353
12,-0.092892334,0.98304325,1.0065415,1.3799492,-0.28844985,0.05697634,0.030602476,0.005061073,0.0025939443,0.93335485,0.85904074,0.85673183
13,-0.058332678,1.0060563,1.0164244,1.3852255,-0.33351588,0.052211188,0.031950567,0.0056449794,0.0028381376,0.9496488,0.8598324,0.85722363
14,-0.08825041,0.96861196,0.9869803,1.341728,-0.33475822,0.048042666,0.031409677,0.005502725,0.0025833931,0.9220603,0.85766524,0.8549073
15,-0.13999759,0.9527125,0.97337997,1.3008436,-0.36965308,0.040190373,0.028867878,0.0050752433,0.0027332108,0.9076934,0.8558391,0.8532306
16,-0.14388047,0.9333754,0.93120515,1.3085891,-0.29255345,0.052855417,0.028321404,0.0053209425,0.0029005448,0.8795649,0.8640644,0.86302274
17,-0.2057384,1.0208842,1.020619,1.4153678,-0.3402827,0.055967085,0.030651702,0.006451972,0.003512651,0.9596029,0.8677925,0.8663417
18,-0.013869068,1.0030361,1.0296468,1.3770412,-0.37832147,0.047189407,0.030069347,0.0063536637,0.0033525287,0.95459116,0.8616998,0.8590481
19,-0.08664695,1.0773116,1.1282455,1.4364783,-0.48489675,0.03868557,0.03431575,0.006977588,0.00346168,1.0358312,0.85881996,0.8558207
20,-0.17301823,1.164859,1.2150571,1.5458192,-0.53388596,0.03983076,0.039163474,0.007459247,0.0034795683,1.1134557,0.8539906,0.8501245
21,0.029028896,0.99122924,1.0361257,1.3517888,-0.3914667,0.03996096,0.030246334,0.004407037,0.0020142437,0.9497946,0.84832996,0.8455335
22,0.0060354816,0.88077307,0.86947024,1.2629975,-0.19194141,0.058439765,0.025034092,0.003535817,0.0017069606,0.81650984,0.8517018,0.8500721
23,-0.13207412,0.9118216,0.9058982,1.2943617,-0.2316411,0.055886887,0.027717395,0.004260516,0.0020286497,0.8473639,0.85375243,0.8520712
24,-0.22559725,0.9706665,0.97105116,1.3630118,-0.30417168,0.050074853,0.029345017,0.0038268676,0.0016201447,0.9020547,0.8476469,0.8454925
25,-0.18523228,0.9730264,0.97799546,1.3656789,-0.30328113,0.054070838,0.029061869,0.0047358843,0.0022940014,0.91524386,0.8542088,0.8522784
26,-0.25707442,0.9665107,0.96857893,1.377226,-0.27310786,0.059676625,0.027051436,0.0049000066,0.0028536976,0.91005665,0.8566606,0.8547874
27,-0.4066825,1.094437,1.1307036,1.4633858,-0.47968853,0.040695965,0.034908716,0.006262733,0.0030656417,1.0466177,0.85805917,0.85483307
28,-0.34390187,1.1581726,1.1811982,1.5472944,-0.52285826,0.04271714,0.037454575,0.0075780656,0.0035382647,1.1011682,0.8647249,0.86093646
29,-0.18368326,1.131471,1.1517689,1.516852,-0.49336293,0.043436866,0.036408607,0.006785028,0.0034845578,1.0726354,0.86056864,0.8569038
30,-0.078916416,0.9296033,0.9257584,1.3175277,-0.2632632,0.057121113,0.027817164,0.005380466,0.0028159644,0.8743834,0.86371017,0.8623473
31,0.004750716,0.915728,0.887384,1.2827122,-0.26684353,0.052025788,0.025959766,0.004581007,0.0023637456,0.8435879,0.8659906,0.86399746
32,-0.10108617,1.0608677,1.070762,1.4145573,-0.4609751,0.041733935,0.031095374,0.006742341,0.0038245195,1.0062265,0.86579263,0.8634184
33,-0.07761403,1.1215045,1.1355301,1.4929922,-0.5170379,0.04288254,0.03312262,0.008641061,0.004860399,1.066625,0.86827797,0.86591613
34,-0.113427766,1.0784935,1.0808431,1.4606159,-0.42937326,0.048093256,0.032306883,0.0068668746,0.003713355,1.0140702,0.8610732,0.858182
35,-0.054200776,1.0143596,1.0360818,1.4068805,-0.3647286,0.049825117,0.03031233,0.0055040126,0.0029379453,0.9644512,0.8537745,0.85117525
36,-0.068546034,1.0713598,1.0914519,1.4615158,-0.41784793,0.050281122,0.030194046,0.0067918836,0.0040086447,1.0162282,0.85451126,0.8518002
37,-0.096387744,1.1153426,1.1278266,1.4873097,-0.4797302,0.043311838,0.03363235,0.0070037376,0.003970907,1.0511745,0.8575724,0.8545793
38,-0.003437353,1.0730188,1.095357,1.4458629,-0.4349165,0.044064287,0.032544352,0.0061519933,0.0031084141,1.0158435,0.8558151,0.8531912
39,-0.20117943,1.0194763,1.0336003,1.4011729,-0.37478882,0.05137636,0.028648322,0.0058692484,0.0033609932,0.9696327,0.85524184,0.85341907
40,-0.47662187,1.0327622,1.0449555,1.3924233,-0.41579568,0.04545035,0.028692007,0.0061200284,0.0036924102,0.9779553,0.85945576,0.8569569
41,-0.4687297,1.0034052,1.0326573,1.3624636,-0.41655067,0.042126615,0.0307288,0.005517418,0.0029641427,0.9633752,0.8592486,0.8570899
