lead time,crpsss,crps,mae_median,mae_mean,bias,relative_bias_5,Brier95,Brier99,Brier995,alpha
0,-0.09729365,1.2016703,1.360016,1.3917696,-0.64915985,0.010079447,0.045802563,0.007812667,0.0034066604,0.06648607
1,0.11592602,0.9976782,1.1425514,1.2260112,-0.4208503,0.025104133,0.03565635,0.0058340877,0.0024636774,0.082901165
2,0.019808961,0.8991838,1.0193205,1.1316075,-0.34019628,0.028944066,0.032276753,0.0036196706,0.0015847728,0.085844204
3,-0.14490229,0.91263294,1.039275,1.163249,-0.35469073,0.029944032,0.03166804,0.0045067337,0.0017408123,0.09370816
4,-0.30462387,1.0110692,1.1405528,1.2823082,-0.4481089,0.030310627,0.034622315,0.0067363977,0.0029242185,0.09833585
5,-0.096739836,1.0093476,1.1395619,1.302623,-0.41172352,0.03722226,0.03358577,0.005562019,0.0024874655,0.10612933
6,-0.18669663,1.0630267,1.1977022,1.3720965,-0.45392242,0.03536761,0.03848817,0.0055921883,0.002590102,0.113036156
7,-0.1278939,1.0783124,1.2013811,1.4290948,-0.41403908,0.045693845,0.03941918,0.006175124,0.002826392,0.12609804
8,-0.038244467,0.9461374,1.0482246,1.3026346,-0.28019816,0.053375985,0.03579019,0.0052584573,0.0024461874,0.1283883
9,-0.10003304,1.1230421,1.224727,1.4747121,-0.49933887,0.038269423,0.042532995,0.00698922,0.0032548201,0.12705097
10,-0.09205416,1.2015902,1.3010819,1.5796891,-0.5645321,0.040279288,0.046265785,0.0077179153,0.0035942404,0.1318762
11,-0.06399638,1.0334271,1.112867,1.412357,-0.35550204,0.05508145,0.036377992,0.006664463,0.0033829457,0.13331237
12,-0.21668327,1.0174439,1.1008164,1.3934478,-0.33771735,0.056170415,0.035994023,0.00663703,0.0030772034,0.13046436
13,-0.46992457,1.0506334,1.1230164,1.4221878,-0.40163526,0.047430377,0.039677914,0.0064127627,0.00294279,0.12900662
14,-0.11033032,1.0988005,1.1571218,1.4686953,-0.4376923,0.047053766,0.04140437,0.007841086,0.0034710676,0.13108462
15,0.08014543,0.96337056,1.0273212,1.3234669,-0.31986067,0.048129946,0.03528718,0.0061654653,0.0026104057,0.12993403
16,-0.053950608,1.1289891,1.1985795,1.4877309,-0.49647957,0.039484113,0.040128745,0.008133976,0.0036738038,0.13194846
17,-0.14458987,1.0119863,1.0887964,1.3914813,-0.33115712,0.0508931,0.035648104,0.0046853805,0.001794374,0.13584249
18,-0.28239423,0.92633384,1.0007161,1.3233536,-0.18465492,0.06457485,0.033361454,0.0056508896,0.0022041353,0.13944685
19,-0.22219728,0.9656389,1.0438709,1.3567106,-0.2407507,0.059694443,0.03566248,0.0044968817,0.0015661351,0.1378729
20,-0.19435017,1.0325023,1.1191194,1.4265378,-0.2883809,0.060652625,0.035219494,0.005140095,0.0023582887,0.14092791
21,-0.12103244,1.1708256,1.2396305,1.580011,-0.4251141,0.058276728,0.04054663,0.008888104,0.0042337812,0.1443264
22,0.0012035813,1.1279858,1.2009473,1.5328575,-0.4028656,0.056089673,0.041165482,0.007023367,0.0034581027,0.14211208
23,-0.08110102,1.1349602,1.211582,1.5247611,-0.4530072,0.04737934,0.043090083,0.0067933886,0.0034373994,0.1390781
24,-0.13425268,1.0861585,1.1427618,1.4569519,-0.42553297,0.04525697,0.039758336,0.006157422,0.0031224461,0.13410003
25,-0.029731208,0.9285367,0.97550046,1.2993922,-0.29585654,0.050911438,0.033799335,0.0052093184,0.0024191362,0.13578457
26,-0.29580882,1.0844682,1.137452,1.4738894,-0.41445953,0.052068368,0.039081395,0.0075632846,0.003757295,0.13851051
27,-0.7471944,1.0225577,1.0850912,1.418112,-0.34154767,0.05591147,0.036848925,0.00609571,0.0030732143,0.1397567
28,-0.25517336,0.9377113,0.98220706,1.3357843,-0.25370792,0.060172822,0.034478784,0.0054047876,0.0024807116,0.13939777
29,-0.023656132,1.0204492,1.0565355,1.3994417,-0.359617,0.051290322,0.03939962,0.007623892,0.0033269105,0.1374372
30,-0.12521572,1.1482451,1.2290347,1.516649,-0.5149628,0.038207036,0.04283193,0.008236002,0.003665306,0.13183841
31,-0.11406548,1.1939657,1.2715609,1.5722923,-0.5355774,0.039547555,0.04276048,0.00784707,0.0033028917,0.13393995
32,-0.045577243,0.9239187,0.9842247,1.2978221,-0.29091442,0.047972247,0.032306135,0.0041808095,0.0015739411,0.1357972
33,-0.12868707,0.961365,1.0317657,1.3268977,-0.347974,0.0454527,0.034738056,0.0055530416,0.002298077,0.13355735
34,-0.27364662,1.039097,1.1243573,1.3893478,-0.4467719,0.037149206,0.0373901,0.0068814247,0.002598382,0.13163711
35,-0.054480158,1.0519556,1.1283098,1.4071292,-0.44089165,0.040101007,0.03627005,0.005253197,0.0024442484,0.13104998
36,-0.05889464,1.2337885,1.3078512,1.5765296,-0.6543757,0.032840084,0.040987138,0.009584237,0.005265419,0.12663196
37,-0.04340079,1.2721266,1.345834,1.626537,-0.69200367,0.028915808,0.0421812,0.009607235,0.005610859,0.12901956
38,-0.105173156,1.2221549,1.2768296,1.5941861,-0.5908378,0.039009113,0.043149643,0.009035898,0.004825766,0.13407387
39,-0.12840517,1.154463,1.2199248,1.5305051,-0.5147283,0.04406773,0.04210124,0.0075361663,0.0036148075,0.13430026
40,-0.2715229,1.1853065,1.2599877,1.5628211,-0.5330572,0.041798625,0.045314837,0.007553371,0.003626658,0.1341596
41,-0.40506828,1.1615958,1.2281411,1.5525345,-0.48400506,0.047940034,0.042886455,0.0072192196,0.003565988,0.13582844
