lead time,crpsss,crps,mae_mean,bias,relative_bias_5,Brier95,Brier99,Brier995,skil_dis,mae_median_dis,alpha
0,-0.041894354,0.9110618,1.0723082,-0.44038725,0.010941911,0.08050031,0.07153422,0.070402555,0.83209145,0.9354202,0.061338976
1,-0.2562482,0.92363477,1.1138314,-0.3686371,0.024358531,0.08396994,0.07464458,0.073304296,0.8268234,0.91900086,0.06985985
2,-0.15413624,0.8922933,1.1066604,-0.35573512,0.02820577,0.08291334,0.07531694,0.07411548,0.8299412,0.92547005,0.078477
3,-0.14939564,1.0211153,1.252315,-0.5278187,0.017978417,0.088129655,0.07741047,0.0758957,0.97207046,1.0884179,0.08347269
4,-0.108623,1.078589,1.3437382,-0.52851945,0.025548711,0.089372106,0.07824059,0.07651576,1.0177026,1.1294851,0.09602916
5,0.07893197,1.056056,1.3261681,-0.52842736,0.024942212,0.08809002,0.07695521,0.075241975,1.0065223,1.1138703,0.09947712
6,0.028974654,1.0666982,1.3519006,-0.53592175,0.024721047,0.09103385,0.078466296,0.0765595,1.0213066,1.133512,0.10762245
7,-0.13882804,1.1468318,1.4714316,-0.57149494,0.0288626,0.09487825,0.080663845,0.07854727,1.0926954,1.2078354,0.11863388
8,-0.14794372,0.99102145,1.3326393,-0.36171156,0.045990925,0.09254176,0.080699876,0.07883696,0.9317158,1.0085993,0.12582459
9,-0.24439012,0.8457714,1.2097872,-0.1507737,0.060201444,0.09097087,0.08045293,0.07876897,0.7825182,0.8468523,0.13327818
10,-0.64186543,1.0030861,1.3733971,-0.34054378,0.05018525,0.093206935,0.080241874,0.07837735,0.9507213,1.0406325,0.13170883
11,-0.42345455,1.037781,1.423855,-0.36179185,0.052703317,0.09334635,0.080920264,0.079117626,0.9874828,1.07825,0.13779216
12,-0.088648394,0.9846849,1.379491,-0.27759323,0.058452427,0.093534395,0.08059698,0.078718156,0.9275219,1.0064744,0.14251441
13,-0.05584099,1.0090529,1.3908328,-0.31525367,0.05508447,0.09417715,0.08017331,0.07809221,0.9442502,1.0163709,0.1407132
14,-0.08332913,0.97186685,1.3479067,-0.31651837,0.051025447,0.09196733,0.078454494,0.07645229,0.9172306,0.986997,0.13752814
15,-0.13816653,0.95605564,1.3096482,-0.3492788,0.043614283,0.08867303,0.07586357,0.074143805,0.90358555,0.97342706,0.1299661
16,-0.14132617,0.9371996,1.3136222,-0.27630785,0.055496756,0.08875802,0.0761006,0.07432809,0.87546515,0.9312672,0.13281906
17,-0.20946376,1.026569,1.4203761,-0.32623774,0.05830576,0.08998845,0.07688355,0.074973,0.95553076,1.0206202,0.13789736
18,-0.012576043,1.0044498,1.37636,-0.36832932,0.0487057,0.08687229,0.07524601,0.07343439,0.94986933,1.0296493,0.12985153
19,-0.08443901,1.0798916,1.4381794,-0.4720846,0.04067174,0.089296654,0.07609464,0.07396564,1.0310504,1.1281978,0.12778369
20,-0.1687997,1.1645455,1.5423297,-0.52565396,0.04076896,0.09259904,0.07728974,0.07504946,1.1073184,1.2150488,0.13162814
21,0.034265824,0.9901676,1.3495225,-0.37809375,0.04173844,0.087766305,0.075036645,0.07340771,0.94435173,1.0360755,0.12963174
22,0.011232243,0.88109094,1.2607437,-0.18105808,0.059864137,0.08807656,0.07608713,0.07447826,0.81134206,0.8694737,0.13717908
23,-0.1292953,0.9137933,1.2962623,-0.21619529,0.05819392,0.08941992,0.07659216,0.0748568,0.84240955,0.9059521,0.13723625
24,-0.21842232,0.9688628,1.3604805,-0.290409,0.051963925,0.0903159,0.076864086,0.07517354,0.8963,0.9710758,0.13748388
25,-0.1742614,0.9720822,1.3626165,-0.2913426,0.055615652,0.09150075,0.07869202,0.07683894,0.9094712,0.97797716,0.13868523
26,-0.2529481,0.96906304,1.3775624,-0.26047626,0.061526645,0.0907153,0.07854967,0.07690347,0.9048945,0.9685585,0.14451024
27,-0.40182048,1.0951786,1.4670411,-0.46126524,0.043534946,0.092345186,0.077305734,0.07516533,1.0410904,1.1306826,0.13406363
28,-0.33855116,1.1597261,1.5467296,-0.5107364,0.044445537,0.09313824,0.07762635,0.075139746,1.09541,1.1811879,0.13351604
29,-0.17931439,1.1334758,1.5190796,-0.48127216,0.04527775,0.09357915,0.07816189,0.076003864,1.0678915,1.1517497,0.1355599
30,-0.078256756,0.9334098,1.3225697,-0.24723148,0.059720658,0.08955967,0.07710369,0.07529287,0.87000173,0.92575175,0.13912632
31,0.0051322742,0.9193941,1.2864234,-0.25385702,0.05407964,0.087718904,0.07527871,0.07353823,0.8388761,0.8874242,0.13150412
32,-0.10154254,1.0632592,1.4200189,-0.4433501,0.044593953,0.08946407,0.07625002,0.07423202,1.0015521,1.0707783,0.12820582
33,-0.07749828,1.1251737,1.5001521,-0.49733618,0.046157684,0.0887545,0.07564619,0.07340128,1.0623933,1.1355487,0.13064983
34,-0.11261617,1.0803593,1.461616,-0.4175671,0.04981154,0.08998485,0.07605208,0.07394661,1.0090132,1.0808129,0.13505341
35,-0.054426752,1.0177402,1.4084898,-0.35001364,0.052076817,0.09053378,0.0773574,0.07547512,0.9593186,1.036052,0.1404562
36,-0.06600077,1.0729895,1.463008,-0.40342274,0.05246834,0.09014047,0.07800185,0.0761174,1.0109847,1.0914124,0.13921787
37,-0.094781354,1.1170135,1.4867215,-0.4680998,0.0450077,0.09192335,0.07722907,0.075187735,1.045725,1.1277424,0.13383712
38,-0.0018114101,1.0735669,1.4458256,-0.421872,0.045931444,0.09209057,0.07838001,0.076227725,1.0107862,1.0953323,0.13374405
39,-0.20226283,1.0233871,1.4050477,-0.3600711,0.05372733,0.08952099,0.07713708,0.07535635,0.965315,1.0335993,0.13662463
40,-0.47637644,1.035528,1.3958396,-0.40140215,0.047714185,0.08886881,0.07657347,0.07474586,0.97370994,1.0449522,0.13077967
41,-0.46433905,1.0049384,1.365194,-0.40231386,0.044306666,0.088109165,0.07484001,0.07304524,0.95900446,1.0326827,0.13002688
